Time, Ax1, Ay1, Az1, Gx1, Gy1, Gz1, R1, P1, Y1, Ax2, Ay2, Az2, Gx2, Gy2, Gz2, R2, P2, Y2
2.111000061,0.007019043,-0.099609375,0.965698242,4.71496582,-10.34545898,2.487182617,98.40713501,-1.73976469,3.665971756,0.017578125,0.057800293,1.078125,9.010314941,-4.905700684,5.165100098,-89.96095276,-2.036051273,-19.03656197
2.211999893,0.031616211,-0.090881348,0.972900391,-14.13726807,7.537841797,-12.40539551,-89.53066254,6.555432796,7.657730103,0.034118652,0.061828613,1.052062988,-5.401611328,13.1072998,-4.013061523,89.14429474,-0.645258367,-18.97001457
2.262000084,0.04119873,-0.017028809,0.983581543,-13.76342773,14.96887207,-19.22607422,-89.05795288,2.272019625,3.927924156,0.032775879,0.190185547,1.073425293,-6.736755371,23.8494873,-18.04351807,89.30314636,0.285459846,-19.44592857
2.311000109,0.027160645,-0.035583496,1.030639648,-20.21026611,25.26855469,-26.59606934,-102.8359528,14.26375389,9.854679108,0.018798828,0.20526123,1.143859863,-23.44512939,30.74645996,-36.81945801,89.02263641,1.180795908,-20.21889496
2.461999893,0.084228516,0.143737793,1.1640625,2.365112305,63.16375732,-68.85528564,-76.36704254,11.34160995,34.39432144,0.051940918,0.368286133,1.341796875,-36.04125977,79.63562012,-91.14074707,93.61646271,3.457571507,19.04006386
2.512000084,0.053833008,0.10369873,1.204772949,-1.86920166,76.69067383,-84.5489502,-71.48358917,11.6120472,42.57448959,0.089050293,0.389770508,1.426330566,-40.03143311,99.30419922,-100.7232666,115.2053604,7.243020535,28.95843887
2.660000086,-0.023376465,0.452880859,1.34185791,8.865356445,88.06610107,-126.2283325,78.79873657,8.055944443,52.72906876,-0.018127441,0.438537598,1.430786133,-33.21075439,136.6271973,-117.4850464,130.6919403,9.502373695,36.09674454
2.711999893,-0.121154785,0.518005371,1.395996094,-4.539489746,88.96636963,-124.9313354,82.00157166,8.755794525,52.99862671,-0.131652832,0.426574707,1.469116211,-43.83850098,135.6658936,-119.2855835,149.8781891,11.33451176,35.47383881
2.762000084,-0.218200684,0.528930664,1.444335938,-15.3427124,86.72332764,-121.7346191,83.78289795,9.338306427,49.06660461,-0.250793457,0.395568848,1.435791016,-44.99816895,132.9040527,-116.104126,171.0378265,13.39587784,34.19082642
2.812000036,-0.335754395,0.587097168,1.511901855,-28.11431885,88.10424805,-113.8381958,85.51741791,10.61444664,45.23666763,-0.437744141,0.323913574,1.519592285,-47.5769043,123.1079102,-113.2583618,-161.9857483,16.00592422,31.41162491
2.861000061,-0.45904541,0.587402344,1.523010254,-49.78179932,86.67755127,-108.4747314,86.28794098,12.80708504,42.85430908,-0.496337891,0.24609375,1.518615723,-55.06134033,120.803833,-101.6464233,-169.3786621,14.35909367,20.37857628
3.010999918,-0.820800781,0.556213379,1.635620117,-26.222229,85.80780029,-87.69989014,119.224823,18.30514717,37.7827301,-0.917236328,0.137939453,1.594848633,-37.46032715,119.3084717,-70.38879395,-149.1880188,18.81404114,4.737888336
3.062999964,-0.945556641,0.58203125,1.705871582,-45.17364502,90.53039551,-82.26013184,173.1178741,20.03160095,36.88982773,-1.049682617,0.114868164,1.655578613,-49.36981201,118.309021,-59.58557129,-145.1124725,20.13564301,1.578476906
3.111999989,-1.031982422,0.531311035,1.703979492,-57.71636963,92.82684326,-79.72717285,-133.2220001,21.68178368,35.06911469,-1.108398438,0.067199707,1.605163574,-50.04119873,120.3384399,-45.3338623,-143.1129761,21.33306503,-0.402481079
3.161000013,-1.11505127,0.390014648,1.669189453,-49.11804199,89.59197998,-65.11688232,-118.2990112,23.18481064,32.37982178,-1.173583984,-0.006896973,1.495483398,-43.6706543,124.3743896,-40.61126709,-141.743454,22.67850876,-2.589844704
3.211999893,-1.257507324,0.353637695,1.652160645,-40.13061523,90.36254883,-50.85754395,-118.3753738,24.69334793,30.51856232,-1.263122559,-0.047546387,1.474243164,-35.8505249,120.2087402,-42.5491333,-141.0288391,23.67879677,-4.692840099
3.262000084,-1.331176758,0.331359863,1.661315918,-32.84454346,90.70587158,-36.22436523,-120.903595,25.64138794,29.87168503,-1.363708496,-0.07623291,1.429382324,-37.23144531,115.9515381,-46.6003418,-140.3499756,24.60199928,-6.901610851
3.312000036,-1.442810059,0.338195801,1.645324707,-29.90722656,86.12823486,-26.55029297,-124.8530731,26.48456955,30.00756073,-1.482666016,-0.114746094,1.404174805,-42.8314209,112.7471924,-45.24230957,-139.7032928,25.49528313,-9.184632301
3.612999916,-1.737426758,0.210876465,1.407714844,-14.62554932,71.63238525,-4.455566406,-145.6248779,28.57738876,1.744160652,-1.744873047,-0.316772461,1.083374023,-11.37542725,101.2878418,-27.59552002,-141.0711365,27.7099247,-22.83820343
3.664000034,-1.782775879,0.193481445,1.345031738,-4.47845459,71.91467285,-1.70135498,-151.8848114,28.27599907,0.872790337,-1.757019043,-0.312255859,0.977478027,-25.44403076,105.0262451,-30.61676025,-141.9835968,28.25064278,-25.49357033
3.762000084,-1.923095703,0.246398926,1.191040039,-2.12097168,42.77801514,1.831054688,-163.3403168,28.10492897,3.796158791,-1.897094727,-0.403442383,0.536071777,-4.814147949,72.73101807,-31.56280518,-143.2436523,29.55205727,-39.16730118
3.812000036,-1.971618652,0.255249023,1.19720459,6.492614746,18.15795898,0.495910645,-168.6732788,27.59532738,5.869318008,-1.955566406,-0.472106934,0.426879883,0.717163086,34.85107422,-21.24786377,-143.5304413,29.85031128,-42.15232849
3.911999941,-1.918945313,0.219177246,1.190856934,-10.35308838,-24.50561523,7.49206543,-170.9725952,26.32830429,6.24935627,-1.904174805,-0.560668945,0.513549805,0.89263916,-35.50720215,2.281188965,-140.5361176,29.15170479,-34.77548981
3.963000059,-1.866271973,0.199157715,1.224914551,-7.40814209,-44.17419434,13.671875,-172.2779846,25.33163071,6.313454628,-1.83380127,-0.528808594,0.640075684,7.8125,-58.53271484,11.96289063,-139.3341064,28.45666122,-26.69114494
4.013000011,-1.852233887,0.176086426,1.240966797,-0.770568848,-58.13598633,17.79937744,-175.0339203,24.40629196,6.797101974,-1.796569824,-0.512268066,0.74810791,16.35742188,-70.76263428,18.73779297,-137.356308,27.42122269,-22.60411263
4.112999916,-1.75579834,0.211669922,1.352233887,-12.56561279,-78.5369873,34.28649902,171.1703186,21.84789467,9.124528885,-1.718383789,-0.495361328,0.969116211,13.38195801,-100.1968384,22.96447754,-133.5854187,24.96408081,-16.2740078
4.163000107,-1.704284668,0.264038086,1.432189941,19.45495605,-92.47589111,40.21453857,150.1495972,20.2402916,10.82207298,-1.699523926,-0.410766602,0.938781738,46.20361328,-111.8850708,35.04180908,-135.2204742,24.02729607,-13.23381615
4.263999939,-1.446228027,0.360595703,1.538146973,18.00537109,-102.8213501,54.5425415,113.8931427,16.24072838,13.16399765,-1.55871582,-0.233581543,1.21685791,68.32885742,-130.0048828,31.72302246,-144.3306427,20.42186165,-7.564545631
4.313000202,-1.398864746,0.37878418,1.644042969,20.362854,-105.1177979,63.60626221,105.8241425,14.43339062,13.79844284,-1.446044922,-0.165588379,1.316894531,66.94793701,-139.1143799,31.8145752,-154.9439087,18.36699677,-6.363864899
4.362999916,-1.279968262,0.405334473,1.668640137,14.06860352,-102.7450562,74.66125488,100.3630447,12.66712475,14.63374519,-1.41192627,-0.121887207,1.457702637,47.1572876,-145.1416016,30.34210205,-166.9003754,16.34318161,-4.125388622
4.414000034,-1.195922852,0.403381348,1.647827148,6.546020508,-101.4022827,76.60675049,97.7203064,11.422122,15.08180618,-1.288757324,-0.179443359,1.556762695,56.74743652,-142.5704956,33.98132324,-169.6114655,14.40646744,-3.001950741
4.464000225,-1.044128418,0.494384766,1.749938965,17.37976074,-98.84643555,85.22796631,93.78160858,9.131252289,16.15938759,-1.166015625,-0.010009766,1.677856445,53.12347412,-145.7138062,37.95623779,149.4581146,12.10476303,-0.875794411
4.514999866,-0.890869141,0.451293945,1.723205566,19.47021484,-111.4501953,92.88024902,91.57220459,6.685832024,16.57556915,-1.201599121,0.007446289,1.489929199,91.39251709,-139.4729614,48.19488525,118.9732895,11.88675213,1.372587204
4.56400013,-0.918151855,0.492248535,1.628967285,15.78521729,-98.54125977,99.03717041,91.13328552,6.028285503,17.69545364,-0.94152832,0.051879883,1.632385254,57.83843994,-131.4697266,51.08642578,112.5990753,10.05391979,3.572257042
4.612999916,-0.70111084,0.590087891,1.780090332,16.63970947,-81.42089844,103.1417847,90.27643585,3.743911505,18.78545952,-0.944396973,0.372253418,1.916259766,70.23620605,-151.4892578,52.734375,94.99594879,6.930631638,6.205426216
4.714000225,-0.543029785,0.528015137,1.568664551,-16.39556885,-85.86120605,98.45733643,90.04924011,0.50727284,19.66952705,-0.712524414,0.236450195,1.833190918,26.29089355,-124.1760254,60.99700928,93.89053345,5.205865383,8.606552124
4.763999939,-0.388549805,0.478881836,1.651428223,-6.896972656,-79.87213135,97.10693359,90.33948517,-1.070469379,19.85876656,-0.729492188,0.354736328,1.719970703,38.10882568,-123.008728,70.25146484,91.62586975,3.954843521,10.28542709
4.815000057,-0.273071289,0.373596191,1.610900879,-5.668640137,-94.93255615,97.02301025,91.18195343,-3.02385354,19.79454994,-0.696044922,0.222045898,1.556884766,52.52075195,-112.4267578,81.97021484,91.70914459,3.870677233,11.69067383
4.863999844,-0.282409668,0.479736328,1.50793457,9.51385498,-82.77893066,87.42523193,91.27909851,-3.885006905,20.20363045,-0.514770508,0.413696289,1.822814941,41.54205322,-111.7401123,92.55981445,89.32141113,1.092016816,13.07462692
4.913000107,-0.020324707,0.390869141,1.540466309,1.815795898,-88.0355835,86.41052246,93.03948975,-6.809610367,20.07421875,-0.474304199,0.390625,1.577758789,66.75720215,-105.21698,107.0022583,91.25121307,1.676684499,23.18240738
4.965000153,-0.063537598,0.357910156,1.454833984,-4.409790039,-77.88085938,71.24328613,89.14134979,0.01331332,40.5279007,-0.294616699,0.427124023,1.683837891,15.57922363,-99.78485107,112.3580933,90.53424072,-0.138158217,32.22615433
